"","Country","Year","GDP","Corporate income tax rate","Taxes_on_income_prof_k_corp_tax_rev_gdp","Taxes_on_income_prof_corp_tax_rev_gdp","Unemployment rate","Unemployment rate men","Unemployment rate women","Gini","Pre_tax_national_income_Top_10%","Net_personal_wealth_Top_10%","Inflation","Interest_Rate","Net_operating_surplus_mix_income","CAPN","CAPN_ICT","CPNK","CPNK_ICT","Wages_LC","Wages_LC_C","Wages_PPP","Growth"
"67","Canada","2000",1192375.938,29.12,4.233,4.233,"6.8211230924451023","6.93302817758111","6.689390793275483",33.3,0.4008,0.5796,2.71943995691972,5.8,NA,1846126,67671,2846452.232,NA,43474.893134436,59067.9526285823,44600.0524229853,5.17763563156284
"68","Canada","2001",1213719.144,28.12,3.148,3.148,"7.2101016104445259","7.5181213363964474","6.8496292227791287",NA,0.3913,0.5779,2.52512013979907,2.2444,NA,1936148,73657,2920232.067,NA,44199.038688698,58825.2708877249,44416.8123091387,1.78997288688997
"69","Canada","2002",1250349.801,26.12,2.969,2.969,"7.6556554437140782","8.1213537820579838","7.1149854379159398",NA,0.3899,0.5772,2.25839440940856,2.7439,NA,2035556,75295,2988864.977,NA,44687.5306357105,58335.1780610734,44046.7611259154,3.01805052520453
"70","Canada","2003",1272875.079,24.12,3.165,3.165,"7.5632285532310286","7.9196334036127842","7.1537291424582152",NA,0.3907,0.5774,2.75856321360112,2.7481,NA,2128245,73973,3068400.207,NA,45464.0118898708,58360.3529142963,44065.7697375825,1.80151810173319
"71","Canada","2004",1312168.488,22.12,3.434,3.434,"7.1757273944460414","7.4635351436094428","6.8466778150537948",33.7,0.3982,0.58,1.85725871857261,2.4999,NA,2288500,74858,3168712.697,NA,47168.1287310341,59643.4840160315,45034.6151411603,3.0869807766894
"72","Canada","2005",1354212.997,22.12,3.383,3.383,"6.7510279521049252","7.0078261516048803","6.4572923030438432",NA,0.4068,0.5819,2.21355203439764,3.2437,NA,2461656,77700,3290760.201,NA,49323.0025696843,61365.8160045508,46335.0850839863,3.20420048069315
"73","Canada","2006",1389887.081,22.12,3.766,3.766,"6.3225459915491653","6.5375225125939576","6.0783067914999824",NA,0.4145,0.584,2.00202539534156,4.2482,NA,2699825,82523,3422640.072,NA,51465.8587173219,63244.5601934216,47753.6561632973,2.63430376750402
"74","Canada","2007",1418683.11,22.12,3.44,3.44,"6.0644878757272798","6.3780670363796004","5.7100797013739184",33.8,0.4168,0.5848,2.13838399266843,4.2597,NA,2957024,86758,3573042.766,NA,53782.5266392964,65091.4433837225,49148.1701669313,2.07182507080229
"75","Canada","2008",1432930.791,19.5,3.232,3.232,"6.1700526431587503","6.5720063594620504","5.715498344655332",NA,0.407,0.5833,2.37027067444294,1.5017,NA,3235117,93209,3700814.165,NA,55518.8376042673,66210.3538883586,49993.0185989938,1.00428918195832
"76","Canada","2009",1391003.872,19,3.366,3.366,"8.3743815983054866","9.5168316091509269","7.0944529130028764",NA,0.3929,0.5764,0.299466803009284,0.2455,NA,3291915,96391,3774015.262,NA,56098.8097434666,66794.7164859276,50434.2494411984,-2.92595561930388
"77","Canada","2010",1433984.771,18,3.247,3.247,"8.1010126046388145","8.7984910698664507","7.3226834554710187",33.6,0.4016,0.5795,1.77687154092629,0.9924,NA,3452888,92848,3886779.585,NA,57014.5457578838,66990.2545450647,50581.8930838186,3.08991943625589
"78","Canada","2011",1479099.373,16.5,3.16,3.16,"7.5428319317734998","7.9557977775869633","7.0814618712754669",NA,0.403,0.5805,2.91213508872355,0.9998,NA,3646443,92799,4011723.078,NA,58785.791577937,67643.6270919337,51075.2308168078,3.14610049648846
"79","Canada","2012",1505145.745,15,3.169,3.169,"7.3277609990873529","7.717468276498626","6.8934383361885567",33.5,0.3983,0.5788,1.51567823124521,0.9982,NA,3882684,94867,4148978.263,NA,60461.4791505991,68684.6380144897,51861.2601212403,1.76096160105669
"80","Canada","2013",1540202.433,15,3.278,3.278,"7.1119562037716912","7.5430817617484074","6.6323740572992254",33.8,0.4082,0.5812,0.93829189781521,1.0012,NA,4080477,95227,4282465.075,NA,62025.7324128047,69534.2009353583,52502.7340359639,2.32912248640744
"81","Canada","2014",1584406.798,15,3.347,3.347,"6.9449634509029456","7.4071487955156847","6.4277188422847322",33.2,0.4119,0.5827,1.90663590717873,1.0114,NA,4324538,100658,4417806.506,NA,63996.2218942261,70382.0061880384,53142.8807996714,2.87003604545014
"82","Canada","2015",1594850.842,15,3.411,3.411,"6.935182677924594","7.4980486099656698","6.3020914253582578",33.7,0.4125,0.5838,1.12524136094279,0.5242,NA,4515182,109165,4515182,NA,65161.1352918542,70931.9896084521,53558.1531815747,0.659176924334302
"83","Canada","2016",1610821.589,15,3.768,3.768,"7.0479620717346494","7.717547305236601","6.2981297422436091",32.7,0.3933,0.5779,1.4287595470108,0.4936,NA,4690298,108922,4583317.739,NA,64526.0366442293,69662.2859107951,52599.446320119,1.00139439873713
"84","Canada","2017",1659788.636,15,3.89,3.89,"6.3947773062191766","6.8167483764337513","5.9233563228876411",33.3,0.4082,0.5818,1.5968841285297,0.997,NA,4889201,110737,4666833.643,NA,66135.7744766295,70660.7800676852,53353.3727685498,3.03988022847389
"85","Canada","2018",1700113.99,15,4.095,4.095,"5.8952916501199244","6.1647917956218707","5.5948553120790478",NA,0.3984,0.5822,2.268225672481,1.7516,NA,5106903,118809,4759240.491,NA,68419.233468404,71947.7138912329,54325.0894683998,2.42954754149793
"86","Canada","2019",1731760.173,15,4.161,4.161,"5.7263166582305427","6.0985026774373363","5.3111475998052784",NA,0.397,0.5816,1.94926902411596,1.7479,NA,5271441,123902,4843238.695,NA,69938.3814770267,72320.6757044665,54606.6993038817,1.86141536309574
"87","Canada","2020",1646998.158,15,NA,NA,"9.5308941752241125","9.6158409219854697","9.4352925583900156",NA,0.397,0.5801,0.716999632307852,0.1741,NA,NA,NA,NA,NA,72427.6670060748,74400.1516011566,56176.8355601337,-4.89455851459865
"88","Canada","2021",1721786.487,15,NA,NA,"7.4567341687067747","7.6774559234957644","7.2093627738242088",NA,0.397,0.5833,3.39519318527532,0.1274,NA,NA,NA,NA,NA,74173.3912899487,74173.3912899487,56005.6171359754,4.54088722787751
"89","Chile","2000",219505.954,15,2.102,NA,"10.481163298310021","9.4405297005468167","12.46482898773686",52.8,0.6268,0.7798,3.8432729570657,9.69,NA,95122000,NA,188334383.299,NA,NA,NA,NA,4.97162949663906
"90","Chile","2001",226429.253,15,1.976,NA,"10.38674466358674","9.5862690601215927","11.938976802903399",NA,0.6219,0.783,3.56910053001465,6.62,NA,106400000,NA,196490112.714,NA,NA,NA,NA,3.15403699710123
"91","Chile","2002",233681.305,16,1.981,NA,"10.16581743596525","9.3137846102021591","11.81407506892031",NA,0.617,0.7929,2.48939816650703,3.03,NA,114133000,NA,204549324.621,NA,NA,NA,NA,3.20278934983723
"92","Chile","2003",244718.652,16.5,2.382,NA,"9.7602489856681629","8.5412537038437044","12.023008857942481",51.5,0.6121,0.8031,2.81017875743615,2.45,19564831.015,123831000,NA,213253135.599,NA,NA,NA,NA,4.72324775830912
"93","Chile","2004",261051.81,17,3.225,NA,"10.1513990322746","8.5531542836137913","12.97507466186436",NA,0.6243,0.8038,1.05473871403516,2.37,25430067.949,130825000,NA,222872713.883,NA,NA,NA,NA,6.67425954928846
"94","Chile","2005",276289.524,17,4.584,NA,"9.336107948862546","7.6418702225100983","12.25318891251773",NA,0.6361,0.8029,3.05257621387848,4.53,30582607.113,142529000,NA,235508464.288,NA,NA,NA,NA,5.83704591054166
"95","Chile","2006",293004.996,17,6.287,NA,"9.0226669700644546","7.4236331192458707","11.744809000930299",47.3,0.6477,0.8061,3.39201733699404,5.36,40477070.304,159234000,NA,248491218.114,NA,NA,NA,NA,6.04998400156497
"96","Chile","2007",308148.194,17,6.675,NA,"8.4340431456703886","6.9589630296235629","10.89020604529432",NA,0.6458,0.8077,4.40779938398046,5.93,44686335.068,177864000,NA,262904499.289,NA,NA,NA,NA,5.1682388378115
"97","Chile","2008",319825.139,17,5.12,NA,"9.2782710981210226","7.511255502557078","12.095726438147191",NA,0.6438,0.8088,8.7162687303961,8.24,40796594.025,214591000,NA,280322462.405,NA,NA,NA,NA,3.78939264528028
"98","Chile","2009",316249.355,17,4.251,NA,"11.284966432052011","9.9553997958674749","13.35962214729733",47,0.6418,0.8058,0.353045178360941,0.45,40436420.393,231076000,NA,293098393,NA,NA,NA,NA,-1.11804344435853
"99","Chile","2010",334755.175,17,3.99,NA,"8.1422181602524848","7.1745885510864733","9.6258645904683036",NA,0.6602,0.8135,1.41071107954318,3.13,49997945.974,238163000,NA,298645851.667,NA,NA,NA,NA,5.85165462234698
"100","Chile","2011",355589.997,20,4.935,NA,"7.119242071997343","6.0779037987436997","8.6618971652917498",46,0.6783,0.8198,3.34121694259299,5.23,52775424.239,259981000,NA,317091036.831,NA,NA,NA,NA,6.2238984057528
"101","Chile","2012",377477.769,20,5.818,NA,"6.4319164611426114","5.4255130669910274","7.8997716203330706",NA,0.6689,0.8182,3.00744840213049,4.99,52766534.607,284579000,NA,337862983.346,NA,NA,NA,NA,6.15533962840918
